Name,Latitude,Longitude
Baró de Viver,41.44581467347341,2.19899775842406
Can Baró,41.4167603624773,2.1623865539676492
Can Peguera,41.43484212038238,2.1664501320817235
Canyelles,41.445032990983854,2.1634504252403164
Ciutat Meridiana,41.46120773644666,2.1748476502321963
Diagonal Mar i el Front Marítim del Poblenou,41.405276267238754,2.212946160220975
Horta,41.439890497034526,2.151930059358252
Hostafrancs,41.37530520232274,2.144255133897816
Montbau,41.435266554861805,2.1377609714464327
Navas,41.41800035771929,2.1859483793531402
Pedralbes,41.39103220541373,2.110191000394158
Porta,41.43486708443896,2.1787852978448257
Provençals del Poblenou,41.411123175740386,2.2026296597676445
Sant Andreu,41.43693842030853,2.1902329330593058
Sant Antoni,41.37851257064619,2.159341487853878
Sant Genís dels Agudells,41.42545544035821,2.130116581244354
Sant Gervasi - Galvany,41.39745161788423,2.1430104123588483
Sant Gervasi - la Bonanova,41.409801295218585,2.1301825460017407
Sant Martí de Provençals,41.41686188607197,2.1980064426553256
Sant Pere, Santa Caterina i la Ribera,41.38679469587465,2.1834306190041723
Sants,41.377464761115434,2.136349314597411
Sants - Badal,41.3746485715686,2.1277223117368895
Sarrià,41.40263975792741,2.1161752205051303
Torre Baró,41.45478246035708,2.1740652292036216
Vallbona,41.46345746203076,2.184082455782003
Vallcarca i els Penitents,41.416493995983934,2.140818601754695
Vallvidrera, el Tibidabo i les Planes,41.419497665578284,2.0894525733974803
Verdun,41.44269385754812,2.1756228176531303
Vilapicina i la Torre Llobeta,41.428591358953184,2.174092139848137
el Baix Guinardó,41.41171312255782,2.167850898899916
el Barri Gòtic,41.381292031494766,2.1773117122464805
el Besòs i el Maresme,41.41331882191443,2.2167873156096003
el Bon Pastor,41.43696659581884,2.2018821998161364
el Camp d'en Grassot i Gràcia Nova,41.406303274194116,2.1650129537004696
el Camp de l'Arpa del Clot,41.412010616322334,2.1824611855386538
el Carmel,41.42174672331425,2.1559470043877886
el Clot,41.409805888456596,2.1900203406345033
el Coll,41.41823358068606,2.147736395081032
el Congrés i els Indians,41.4245788563833,2.1808357843935195
el Fort Pienc,41.397405898016736,2.181498917420189
el Guinardó,41.41881986815293,2.173626015032121
el Parc i la Llacuna del Poblenou,41.39861322011534,2.190249714462936
el Poble Sec,41.36538911640937,2.158211095268622
el Poblenou,41.399986587118,2.2023944832245395
el Putxet i el Farró,41.40689839008574,2.1439149715259136
el Raval,41.37899905293184,2.170437430140317
el Turó de la Peira,41.43229809744909,2.1689287084102062
l'Antiga Esquerra de l'Eixample,41.38934720324182,2.155172675512454
la Barceloneta,41.377683632195314,2.190148380377908
la Bordeta,41.369065870882004,2.136434490087801
la Clota,41.42886496357722,2.153076339811532
la Dreta de l'Eixample,41.39389229518443,2.1682039872220322
la Font d'en Fargues,41.42458216175912,2.165241491816915
la Font de la Guatlla,41.36977699847218,2.1449169483079222
la Guineueta,41.43881019317112,2.168911168686526
la Marina de Port,41.36001076682843,2.1398272478556932
la Marina del Prat Vermell,41.33908182816941,2.141847390471855
la Maternitat i Sant Ramon,41.381193628716815,2.117399268331813
la Nova Esquerra de l'Eixample,41.38305948067014,2.148969390791108
la Prosperitat,41.442658256783524,2.1819599488647814
la Sagrada Família,41.40545288785173,2.176535135446728
la Sagrera,41.423263762335694,2.1902413234256004
la Salut,41.412431355157636,2.1543557981986443
la Teixonera,41.42305281093841,2.146521863119086
la Trinitat Nova,41.45060790600672,2.1848904505363707
la Trinitat Vella,41.45166132114202,2.192890881354412
la Vall d'Hebron,41.43041712603154,2.1483446421763515
la Verneda i la Pau,41.423947239365006,2.203060844273514
la Vila Olímpica del Poblenou,41.390732347147804,2.1966293964520665
la Vila de Gràcia,41.40311183322556,2.1568810012031916
les Corts,41.38692440015764,2.1346874325730134
les Roquetes,41.44804470504338,2.175163220052734
les Tres Torres,41.398011595845674,2.1298434355071385
