Name,Latitude,Longitude
Ciutat Vella,41.380842958380065,2.181049163164951
Eixample,41.39162181574575,2.1644883081819466
Gràcia,41.41014984533272,2.15239842811538
Horta-Guinardó,41.42913982673942,2.1505309147020015
Les Corts,41.38696971055695,2.1182139026232667
Nou Barris,41.446243996869654,2.175060174739923
Sant Andreu,41.435054546385864,2.1933091722750544
Sant Martí,41.407613151742986,2.2012214191471715
Sants-Montjuïc,41.349948636915855,2.144932851885244
Sarrià-Sant Gervasi,41.41277359464382,2.1061210497532157
